,hsa-miR-142-5p,hsa-let-7e,hsa-miR-24,hsa-miR-574-5p,hsa-miR-130a,hsa-miR-21,hsa-miR-663,hsa-miR-135b,hsa-miR-10a,hsa-miR-222,hsa-miR-22,hsa-miR-147b,hsa-miR-31,hsa-miR-216a,hsa-miR-223,hsa-miR-579,hsa-miR-92a,hsa-miR-219-2-3p,hsa-miR-149,hsa-miR-193a-5p,hsa-miR-378,hsa-miR-150,hsa-miR-766,hsa-miR-210,hsa-miR-1302,hsa-miR-29c,hsa-miR-151-3p,hsa-miR-187,hsa-miR-422a,hcmv-miR-US5-1
3252,0.0,3.0,1.0,7.0,6.0,2.0,13.0,29.0,4.0,9.0,11.0,8.0,31.0,5.0,87.0,53.0,28.0,14.0,71.0,78.0,98.0,54.0,210.0,115.0,10.0,236.0,22.0,32.0,269.0,104.0
3301,0.0,1.0,2.0,4.0,6.0,8.0,42.0,26.0,3.0,14.0,38.0,5.0,9.0,23.0,7.0,149.0,30.0,46.0,13.0,32.0,16.0,101.0,179.0,403.0,272.0,273.0,17.0,93.0,55.0,73.0
3350,2.0,0.0,1.0,16.0,11.0,5.0,25.0,34.0,3.0,4.0,86.0,24.0,12.0,72.0,69.0,177.0,19.0,10.0,29.0,22.0,307.0,35.0,15.0,17.0,42.0,185.0,27.0,28.0,126.0,44.0
3399,1.0,0.0,2.0,4.0,6.0,3.0,5.0,43.0,7.0,13.0,65.0,14.0,25.0,56.0,12.0,445.0,38.0,72.0,143.0,19.0,51.0,32.0,15.0,448.0,105.0,136.0,57.0,28.0,359.0,21.0
3448,0.0,2.0,1.0,4.0,3.0,6.0,7.0,5.0,22.0,75.0,9.0,19.0,20.0,8.0,14.0,10.0,31.0,64.0,68.0,21.0,94.0,12.0,11.0,69.0,63.0,29.0,40.0,44.0,25.0,17.0
3497,0.0,1.0,3.0,2.0,7.0,9.0,6.0,11.0,56.0,74.0,36.0,86.0,21.0,5.0,8.0,4.0,43.0,122.0,235.0,48.0,214.0,262.0,18.0,19.0,22.0,16.0,12.0,164.0,10.0,30.0
3546,0.0,1.0,3.0,2.0,5.0,7.0,4.0,18.0,6.0,20.0,10.0,9.0,27.0,38.0,47.0,11.0,51.0,125.0,15.0,28.0,101.0,43.0,37.0,527.0,25.0,24.0,457.0,75.0,109.0,133.0
3595,0.0,1.0,3.0,2.0,6.0,7.0,9.0,5.0,4.0,39.0,28.0,10.0,19.0,15.0,11.0,8.0,578.0,94.0,368.0,18.0,67.0,54.0,182.0,591.0,71.0,326.0,62.0,131.0,16.0,24.0
3644,0.0,1.0,2.0,4.0,6.0,7.0,3.0,5.0,14.0,12.0,11.0,9.0,24.0,32.0,25.0,8.0,106.0,13.0,78.0,160.0,68.0,613.0,10.0,60.0,62.0,411.0,242.0,281.0,29.0,100.0
3693,1.0,0.0,3.0,4.0,5.0,9.0,7.0,2.0,6.0,50.0,28.0,58.0,17.0,18.0,13.0,11.0,43.0,325.0,249.0,186.0,258.0,8.0,52.0,124.0,335.0,12.0,158.0,53.0,135.0,147.0
3742,0.0,1.0,2.0,3.0,7.0,4.0,5.0,9.0,8.0,11.0,6.0,24.0,20.0,93.0,21.0,37.0,31.0,166.0,12.0,38.0,76.0,548.0,23.0,39.0,134.0,79.0,274.0,26.0,14.0,188.0
3791,0.0,1.0,4.0,2.0,5.0,8.0,3.0,14.0,21.0,10.0,6.0,134.0,20.0,9.0,23.0,12.0,25.0,318.0,13.0,72.0,24.0,32.0,46.0,19.0,328.0,7.0,35.0,64.0,15.0,87.0
3840,0.0,1.0,2.0,6.0,9.0,3.0,17.0,4.0,5.0,7.0,47.0,27.0,15.0,8.0,38.0,10.0,42.0,49.0,425.0,78.0,186.0,23.0,66.0,33.0,362.0,13.0,90.0,34.0,22.0,26.0
3889,0.0,2.0,1.0,3.0,5.0,12.0,4.0,14.0,8.0,18.0,19.0,31.0,15.0,9.0,239.0,6.0,95.0,10.0,43.0,36.0,89.0,42.0,171.0,132.0,72.0,244.0,367.0,129.0,13.0,92.0
3938,0.0,1.0,2.0,4.0,21.0,5.0,14.0,6.0,162.0,10.0,26.0,11.0,154.0,3.0,12.0,46.0,13.0,31.0,103.0,174.0,32.0,19.0,422.0,45.0,64.0,48.0,399.0,216.0,7.0,66.0
3987,0.0,1.0,2.0,14.0,8.0,21.0,10.0,4.0,9.0,20.0,29.0,76.0,125.0,27.0,6.0,129.0,7.0,78.0,16.0,215.0,5.0,26.0,53.0,11.0,246.0,19.0,31.0,150.0,13.0,69.0
4036,0.0,1.0,15.0,3.0,10.0,5.0,7.0,13.0,156.0,85.0,104.0,16.0,25.0,4.0,12.0,197.0,6.0,49.0,80.0,9.0,17.0,2.0,378.0,72.0,31.0,118.0,22.0,86.0,101.0,62.0
4085,2.0,0.0,1.0,3.0,12.0,4.0,8.0,28.0,16.0,41.0,7.0,39.0,22.0,9.0,42.0,76.0,14.0,10.0,6.0,246.0,221.0,26.0,57.0,20.0,27.0,122.0,169.0,341.0,184.0,13.0
4134,0.0,1.0,4.0,2.0,10.0,3.0,39.0,5.0,6.0,17.0,89.0,36.0,8.0,14.0,9.0,19.0,37.0,11.0,12.0,63.0,27.0,7.0,21.0,178.0,43.0,468.0,609.0,236.0,300.0,29.0
4183,0.0,2.0,3.0,6.0,5.0,1.0,8.0,7.0,112.0,40.0,11.0,17.0,4.0,10.0,12.0,33.0,19.0,14.0,177.0,41.0,36.0,44.0,20.0,69.0,49.0,52.0,353.0,34.0,422.0,25.0
4232,0.0,1.0,3.0,2.0,9.0,7.0,5.0,10.0,29.0,31.0,14.0,62.0,95.0,4.0,20.0,73.0,16.0,41.0,70.0,343.0,48.0,44.0,153.0,35.0,38.0,142.0,140.0,312.0,24.0,17.0
4281,1.0,0.0,3.0,2.0,24.0,4.0,17.0,6.0,10.0,372.0,132.0,7.0,21.0,65.0,9.0,16.0,8.0,5.0,11.0,270.0,18.0,106.0,443.0,158.0,100.0,171.0,110.0,73.0,56.0,25.0
4330,0.0,4.0,2.0,3.0,12.0,1.0,26.0,7.0,10.0,76.0,15.0,101.0,6.0,5.0,8.0,40.0,9.0,113.0,262.0,28.0,13.0,18.0,21.0,240.0,89.0,496.0,225.0,87.0,81.0,222.0
4379,0.0,2.0,1.0,3.0,21.0,5.0,6.0,37.0,182.0,17.0,317.0,8.0,63.0,53.0,133.0,413.0,23.0,15.0,18.0,48.0,4.0,41.0,13.0,153.0,39.0,493.0,60.0,189.0,209.0,38.0
4428,0.0,1.0,3.0,15.0,4.0,7.0,2.0,16.0,32.0,12.0,9.0,71.0,23.0,10.0,5.0,38.0,92.0,21.0,19.0,59.0,29.0,13.0,37.0,6.0,175.0,8.0,70.0,432.0,46.0,30.0
4477,0.0,1.0,4.0,21.0,3.0,15.0,39.0,8.0,22.0,16.0,32.0,2.0,6.0,45.0,5.0,17.0,7.0,103.0,11.0,33.0,25.0,148.0,87.0,12.0,28.0,88.0,23.0,30.0,14.0,205.0
4526,1.0,0.0,3.0,4.0,2.0,13.0,14.0,15.0,10.0,154.0,16.0,29.0,6.0,28.0,11.0,9.0,17.0,8.0,535.0,554.0,18.0,91.0,596.0,5.0,7.0,69.0,114.0,480.0,30.0,55.0
4575,0.0,1.0,3.0,9.0,2.0,6.0,93.0,15.0,5.0,13.0,4.0,40.0,19.0,27.0,45.0,32.0,163.0,79.0,11.0,14.0,88.0,326.0,296.0,10.0,7.0,48.0,81.0,36.0,332.0,90.0
4624,1.0,0.0,2.0,3.0,7.0,4.0,5.0,8.0,12.0,11.0,27.0,44.0,15.0,19.0,24.0,26.0,66.0,28.0,81.0,14.0,33.0,105.0,230.0,50.0,10.0,218.0,46.0,472.0,6.0,18.0
4673,0.0,1.0,3.0,4.0,6.0,2.0,21.0,5.0,12.0,14.0,94.0,11.0,8.0,81.0,9.0,26.0,74.0,13.0,15.0,202.0,235.0,82.0,344.0,10.0,7.0,126.0,25.0,460.0,17.0,121.0
4722,1.0,0.0,2.0,4.0,3.0,8.0,104.0,38.0,16.0,19.0,15.0,18.0,26.0,30.0,5.0,27.0,250.0,21.0,78.0,7.0,156.0,42.0,245.0,6.0,9.0,145.0,11.0,142.0,50.0,61.0
4771,0.0,2.0,1.0,15.0,10.0,4.0,9.0,14.0,12.0,3.0,7.0,30.0,6.0,26.0,8.0,5.0,419.0,39.0,57.0,85.0,49.0,13.0,33.0,16.0,63.0,36.0,43.0,92.0,45.0,249.0
4820,0.0,1.0,2.0,12.0,18.0,9.0,41.0,23.0,8.0,5.0,20.0,6.0,51.0,4.0,31.0,15.0,30.0,49.0,7.0,13.0,3.0,89.0,115.0,22.0,37.0,192.0,90.0,120.0,124.0,101.0
4869,0.0,1.0,2.0,3.0,7.0,4.0,41.0,8.0,9.0,43.0,29.0,6.0,48.0,30.0,12.0,11.0,391.0,26.0,13.0,15.0,382.0,40.0,75.0,5.0,39.0,81.0,34.0,129.0,79.0,22.0
