,OR51A2_DEL,NAALADL2_DEL,FLNA_MUT,LARGE_DEL,SIGLEC14_DEL,KRT16P2_AMP,DPP6_DEL,HLA-DRB6_AMP,HLA-DRB1_AMP,SIRPB1_AMP,KIAA0125_AMP,MECOM_AMP,SNTG1_DEL,NRXN1_DEL,GSTTP2_AMP,TTTY22_DEL,DEFA3_AMP,UPK3B_AMP,HERC2P2_AMP,AMY2A_DEL,FAM66A_DEL,ADAM6_AMP,TNRC6B_MUT,PAX5_DEL,ARHGEF5_AMP,GSTTP2_DEL,MYEOV_AMP,RNF103-CHMP3_DEL,RMND5A_DEL,TRIM64B_DEL
519,5.0,2.0,6.0,35.0,11.0,8.0,30.0,1.0,15.0,80.0,23.0,45.0,13.0,33.0,79.0,21.0,20.0,9.0,22.0,10.0,29.0,34.0,95.0,236.0,18.0,0.0,121.0,87.0,88.0,47.0
568,58.0,7.0,2.0,3.0,4.0,11.0,1.0,0.0,5.0,24.0,61.0,35.0,22.0,42.0,289.0,15.0,8.0,168.0,285.0,20.0,59.0,90.0,64.0,295.0,9.0,6.0,66.0,106.0,105.0,19.0
617,24.0,0.0,4.0,19.0,44.0,61.0,8.0,2.0,5.0,6.0,94.0,18.0,7.0,108.0,281.0,12.0,10.0,9.0,944.0,594.0,20.0,207.0,41.0,504.0,11.0,17.0,28.0,22.0,21.0,25.0
666,14.0,3.0,18.0,5.0,91.0,19.0,1.0,4.0,8.0,216.0,59.0,44.0,0.0,39.0,21.0,13.0,11.0,45.0,100.0,35.0,265.0,89.0,190.0,121.0,52.0,104.0,430.0,50.0,51.0,36.0
715,8.0,2.0,3.0,4.0,196.0,6.0,11.0,1.0,5.0,14.0,65.0,101.0,0.0,9.0,73.0,24.0,12.0,43.0,276.0,38.0,96.0,102.0,33.0,143.0,29.0,76.0,27.0,16.0,15.0,80.0
764,19.0,0.0,5.0,3.0,13.0,9.0,46.0,2.0,8.0,4.0,55.0,35.0,1.0,59.0,76.0,14.0,12.0,22.0,66.0,122.0,159.0,69.0,31.0,120.0,17.0,30.0,44.0,57.0,56.0,80.0
813,4.0,9.0,31.0,5.0,14.0,19.0,2.0,1.0,3.0,205.0,20.0,41.0,10.0,50.0,829.0,15.0,28.0,35.0,22.0,23.0,36.0,27.0,69.0,52.0,13.0,7.0,66.0,100.0,99.0,142.0
862,6.0,0.0,3.0,2.0,12.0,21.0,1.0,37.0,74.0,85.0,4.0,32.0,34.0,184.0,819.0,81.0,8.0,15.0,948.0,17.0,11.0,9.0,13.0,351.0,35.0,22.0,28.0,104.0,103.0,76.0
911,148.0,0.0,7.0,17.0,11.0,2.0,3.0,34.0,8.0,85.0,28.0,231.0,1.0,61.0,72.0,29.0,60.0,15.0,6706.0,16.0,13.0,50.0,33.0,347.0,153.0,9.0,25.0,43.0,42.0,19.0
960,7.0,0.0,11.0,3.0,79.0,13.0,4.0,2.0,5.0,6.0,143.0,33.0,1.0,12.0,225.0,25.0,14.0,24.0,23.0,95.0,30.0,142.0,50.0,358.0,16.0,20.0,29.0,38.0,37.0,60.0
