,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
2086,2.0,40.0,17918.0,16552.0,17407.0,47.0,33.0,11.0,14.0,131.0,307.0,68.0,22469.0,23051.0,0.0,7.0,18325.0,347.0,2467.0,10685.0,15764.0,15396.0,13916.0,2280.0,128.0,332.0,390.0,60.0,963.0,12813.0
2135,1.0,254.0,28.0,74.0,17353.0,70.0,211.0,12.0,16898.0,392.0,1091.0,670.0,22378.0,22972.0,18267.0,216.0,18336.0,2301.0,1223.0,2.0,719.0,6.0,2325.0,23872.0,8.0,13917.0,705.0,35.0,3.0,12935.0
2184,3.0,31.0,1.0,227.0,184.0,63.0,86.0,79.0,16819.0,292.0,13.0,26.0,22473.0,22922.0,326.0,637.0,18348.0,2562.0,0.0,10528.0,73.0,342.0,13959.0,161.0,22973.0,9.0,18087.0,18573.0,75.0,12855.0
2233,17.0,2.0,19.0,4.0,17349.0,9.0,8432.0,16879.0,240.0,266.0,13.0,45.0,173.0,22984.0,18219.0,85.0,18318.0,207.0,24134.0,10633.0,143.0,982.0,14179.0,2240.0,22963.0,13924.0,17985.0,84.0,8.0,12896.0
2282,20.0,205.0,17.0,2580.0,260.0,39.0,206.0,16891.0,8.0,21.0,35.0,36.0,22395.0,22916.0,700.0,0.0,18328.0,22.0,24134.0,12427.0,15765.0,10.0,275.0,23905.0,161.0,13929.0,340.0,18651.0,17447.0,12931.0
2331,14468.0,275.0,25.0,2.0,56.0,14774.0,8395.0,16869.0,3.0,125.0,814.0,85.0,22520.0,174.0,17293.0,10.0,194.0,4282.0,84.0,10498.0,127.0,15394.0,78.0,595.0,129.0,788.0,17966.0,18598.0,4.0,12836.0
2380,33.0,22.0,6.0,1.0,14.0,1601.0,15.0,16817.0,90.0,30.0,17349.0,51.0,22453.0,218.0,17289.0,10.0,18314.0,3931.0,549.0,150.0,9.0,47.0,247.0,22916.0,22939.0,13888.0,2150.0,27.0,17447.0,12808.0
2429,70.0,54.0,15.0,24.0,17130.0,2553.0,997.0,16841.0,189.0,2428.0,17244.0,9.0,22526.0,22935.0,17294.0,328.0,168.0,3244.0,1.0,0.0,88.0,55.0,5.0,229.0,680.0,14063.0,18112.0,51.0,526.0,12864.0
2478,0.0,22251.0,7.0,141.0,3.0,13658.0,18.0,5532.0,4.0,23.0,16146.0,944.0,159.0,133.0,6.0,10.0,16628.0,171.0,115.0,2203.0,5.0,1260.0,1659.0,362.0,21882.0,2397.0,318.0,530.0,449.0,17457.0
2527,6.0,139.0,150.0,16642.0,54.0,208.0,160.0,16767.0,16766.0,17803.0,17324.0,21732.0,1371.0,183.0,27.0,426.0,164.0,2.0,412.0,1988.0,0.0,1412.0,504.0,22924.0,22933.0,49.0,18054.0,19062.0,61.0,12858.0
2576,2.0,68.0,108.0,75.0,98.0,71.0,26.0,221.0,16834.0,2338.0,502.0,171.0,22504.0,114.0,1.0,22020.0,18349.0,43.0,643.0,10441.0,164.0,22.0,24.0,1279.0,661.0,13940.0,283.0,1021.0,31.0,1605.0
2625,65.0,10.0,18.0,91.0,14.0,111.0,1506.0,273.0,106.0,125.0,1132.0,22616.0,15113.0,118.0,2.0,87.0,17232.0,62.0,67.0,488.0,14633.0,564.0,1403.0,23703.0,16.0,360.0,903.0,19726.0,18192.0,3.0
2674,58.0,71.0,0.0,56.0,9.0,14764.0,1565.0,575.0,14.0,314.0,1382.0,21742.0,22468.0,191.0,2.0,22157.0,18329.0,10.0,42.0,10691.0,15764.0,1284.0,13927.0,1458.0,29.0,14018.0,590.0,18829.0,17444.0,21.0
2723,436.0,111.0,18.0,68.0,17347.0,14763.0,135.0,653.0,258.0,18054.0,17341.0,40.0,22452.0,2112.0,11.0,22144.0,344.0,12.0,24134.0,10367.0,729.0,764.0,55.0,22905.0,22906.0,240.0,34.0,19045.0,17432.0,72.0
2772,65.0,0.0,11.0,280.0,510.0,94.0,14.0,16688.0,5.0,526.0,18377.0,21496.0,22574.0,23872.0,57.0,14777.0,16169.0,38.0,437.0,10656.0,16817.0,15598.0,346.0,10.0,23829.0,177.0,9.0,233.0,1.0,4.0
