,NQO1,AC074389.9,THAP8,SMO,NSMCE4A,TUBA1A,C7orf13,GPR176,C12orf23,HEG1,ZNF135,ZNF793,BEX4,MED12L,SH3BP1,PAX8,RP4-639F20.1,HAVCR1P1,PGBD5,S100P,KHDRBS3,NPPB,C1RL-AS1,EMB,MARCKS,DIRAS2,PCSK1N,CCDC149,RP3-441A12.1,ZNF91
3637,4.0,3.0,26.0,220.0,216.0,80.0,13.0,9.0,6515.0,14761.0,124.0,8.0,176.0,665.0,117.0,15.0,1167.0,113.0,59.0,14896.0,1098.0,2.0,5678.0,363.0,7.0,6.0,225.0,262.0,153.0,283.0
3686,14.0,25.0,9.0,51.0,5.0,235.0,164.0,49.0,16.0,14773.0,117.0,70.0,751.0,21.0,48.0,101.0,107.0,111.0,26.0,35.0,149.0,112.0,4437.0,1206.0,22879.0,2.0,8796.0,14993.0,163.0,749.0
3735,7.0,10.0,33.0,172.0,19934.0,231.0,291.0,92.0,25.0,240.0,47.0,137.0,9041.0,2059.0,43.0,124.0,15228.0,11643.0,38.0,128.0,204.0,32.0,474.0,198.0,8.0,20234.0,8742.0,15002.0,2230.0,2626.0
3784,8.0,66.0,11.0,143.0,392.0,101.0,240.0,17.0,67.0,155.0,109.0,3.0,428.0,13.0,128.0,70.0,4.0,1797.0,177.0,255.0,204.0,16.0,5161.0,412.0,22813.0,20204.0,14.0,15039.0,21138.0,11523.0
3833,27.0,1.0,10.0,73.0,67.0,13.0,45.0,12.0,1683.0,157.0,212.0,128.0,1185.0,71.0,237.0,13427.0,15237.0,457.0,158.0,30.0,17980.0,15.0,5103.0,423.0,98.0,23.0,245.0,15040.0,21108.0,11522.0
3882,15.0,5.0,6.0,70.0,83.0,3.0,14.0,71.0,5167.0,131.0,22.0,366.0,58.0,117.0,18.0,11.0,79.0,369.0,0.0,173.0,17966.0,796.0,597.0,139.0,129.0,18404.0,468.0,15055.0,1182.0,238.0
3931,0.0,23205.0,58.0,111.0,51.0,297.0,1.0,142.0,7.0,57.0,312.0,49.0,9073.0,521.0,9739.0,104.0,515.0,208.0,17.0,65.0,325.0,15984.0,5047.0,21.0,31.0,18427.0,8753.0,15064.0,21181.0,261.0
3980,0.0,283.0,19.0,1.0,49.0,318.0,10.0,163.0,15.0,178.0,202.0,7953.0,214.0,45.0,82.0,181.0,151.0,369.0,375.0,1366.0,17983.0,309.0,3624.0,21628.0,351.0,262.0,6.0,15001.0,1139.0,2672.0
4029,0.0,54.0,90.0,61.0,85.0,3088.0,4.0,3874.0,16.0,19.0,37.0,341.0,149.0,7.0,9736.0,162.0,221.0,84.0,60.0,170.0,91.0,1424.0,416.0,106.0,22811.0,20219.0,35.0,15054.0,21122.0,1171.0
4078,0.0,3.0,4.0,252.0,17.0,441.0,2.0,9.0,356.0,73.0,288.0,375.0,176.0,160.0,707.0,24.0,326.0,11652.0,290.0,8.0,503.0,15978.0,1633.0,198.0,25.0,152.0,42.0,380.0,2396.0,11602.0
4127,1.0,352.0,6.0,35.0,36.0,409.0,3.0,32.0,402.0,13.0,123.0,948.0,15.0,99.0,157.0,122.0,43.0,11566.0,525.0,624.0,497.0,1505.0,81.0,2056.0,22854.0,18462.0,8786.0,15049.0,379.0,11532.0
4176,11.0,51.0,5.0,96.0,3.0,15.0,23.0,3088.0,7.0,72.0,14.0,91.0,66.0,35.0,48.0,196.0,410.0,11667.0,232.0,204.0,127.0,15973.0,69.0,236.0,175.0,1.0,8733.0,14988.0,21142.0,270.0
4225,11.0,149.0,28.0,75.0,1.0,5015.0,4.0,4148.0,5.0,199.0,61.0,7.0,169.0,42.0,9753.0,165.0,1805.0,215.0,434.0,176.0,317.0,208.0,256.0,2673.0,356.0,18400.0,670.0,264.0,21166.0,204.0
4274,0.0,61.0,129.0,13.0,241.0,330.0,7.0,216.0,77.0,3.0,359.0,162.0,9.0,374.0,9720.0,14.0,176.0,135.0,19.0,203.0,737.0,1262.0,253.0,67.0,27.0,538.0,201.0,15063.0,21115.0,11638.0
4323,0.0,117.0,51.0,82.0,120.0,20.0,3.0,138.0,7.0,11.0,1.0,14.0,68.0,188.0,9677.0,113.0,114.0,182.0,6.0,14937.0,344.0,15980.0,158.0,21696.0,22805.0,9.0,8777.0,15011.0,21114.0,11690.0
4372,2.0,60.0,28.0,54.0,23.0,58.0,1.0,49.0,6847.0,63.0,53.0,10.0,102.0,14635.0,336.0,146.0,209.0,173.0,624.0,628.0,351.0,11.0,67.0,21678.0,220.0,166.0,1256.0,14984.0,121.0,11633.0
4421,24.0,27.0,69.0,38.0,85.0,107.0,3.0,53.0,215.0,221.0,173.0,1.0,9042.0,591.0,9.0,43.0,15234.0,168.0,17682.0,293.0,174.0,39.0,7101.0,97.0,252.0,102.0,138.0,8.0,402.0,42.0
4470,44.0,1.0,69.0,6.0,7.0,462.0,38.0,135.0,72.0,110.0,793.0,137.0,385.0,806.0,26.0,13484.0,386.0,124.0,83.0,134.0,15.0,405.0,227.0,144.0,22850.0,301.0,46.0,312.0,87.0,54.0
4519,1.0,46.0,7.0,125.0,64.0,8.0,55.0,121.0,0.0,281.0,460.0,151.0,9033.0,192.0,9725.0,99.0,15261.0,89.0,404.0,4.0,72.0,5.0,5018.0,301.0,41.0,589.0,249.0,15047.0,3.0,11553.0
4568,1.0,23206.0,200.0,94.0,150.0,220.0,2.0,11.0,3.0,86.0,38.0,22.0,9054.0,426.0,605.0,398.0,750.0,4.0,17638.0,49.0,25.0,29.0,6660.0,21669.0,22844.0,407.0,8744.0,10.0,21172.0,19.0
4617,0.0,1.0,114.0,166.0,5.0,85.0,7.0,58.0,28.0,286.0,203.0,2.0,92.0,14615.0,340.0,207.0,385.0,76.0,254.0,31.0,175.0,3.0,1914.0,397.0,22823.0,18415.0,8765.0,751.0,306.0,14.0
4666,62.0,7.0,139.0,50.0,94.0,0.0,70.0,19.0,2.0,156.0,92.0,180.0,930.0,545.0,81.0,376.0,15256.0,4.0,6.0,18.0,102.0,15956.0,323.0,66.0,176.0,20219.0,439.0,3.0,308.0,11575.0
4715,1.0,23081.0,35.0,64.0,156.0,3.0,19.0,115.0,1079.0,232.0,118.0,8022.0,253.0,268.0,126.0,148.0,2.0,127.0,17691.0,11.0,82.0,9.0,5883.0,80.0,422.0,20219.0,1510.0,17.0,21156.0,297.0
4764,2.0,308.0,73.0,22.0,3.0,15.0,33.0,39.0,35.0,235.0,90.0,1.0,622.0,245.0,682.0,256.0,15259.0,83.0,17684.0,129.0,109.0,7.0,55.0,63.0,22812.0,447.0,88.0,254.0,147.0,11632.0
4813,53.0,1194.0,143.0,18.0,4.0,8.0,42.0,150.0,6.0,170.0,1116.0,71.0,8999.0,152.0,1.0,219.0,500.0,10.0,17650.0,106.0,198.0,3.0,82.0,21.0,417.0,32.0,0.0,28.0,2.0,58.0
4862,0.0,11.0,58.0,29.0,12.0,91.0,28.0,68.0,194.0,189.0,204.0,27.0,434.0,569.0,223.0,65.0,156.0,100.0,2632.0,243.0,17965.0,440.0,5107.0,855.0,22807.0,20207.0,6.0,307.0,175.0,11619.0
