,LEPREL2,CORO6,IFI27,HERC5,CHRNB1,MYEOV,AC005624.2,AFAP1-AS1,EDA2R,GBP5,PLEKHG4,IFITM1,ARTN,RP11-366M4.17,C8orf58,FAM110C,RP11-834C11.4,ZNF625,SLFN12,MFAP2,ABC7-42389800N19.1,SESN1,MT1E,CSAG1,C3orf18,GPX3,CKB,ZNF703,RGL3,FBXO22
498,118.0,0.0,7.0,44.0,3.0,16.0,22.0,17.0,1.0,24.0,223.0,101.0,15.0,20.0,10.0,4.0,287.0,63.0,8.0,147.0,36.0,6.0,59.0,12.0,30.0,2.0,104.0,14.0,21.0,46.0
547,6.0,5.0,26.0,22.0,4.0,0.0,10.0,8.0,20.0,12.0,119.0,2.0,29.0,23.0,14.0,1.0,176.0,85.0,16.0,153.0,9.0,34.0,57.0,72.0,96.0,43.0,164.0,3.0,46.0,97.0
596,0.0,1.0,7.0,23.0,21.0,2.0,6.0,89.0,5.0,10.0,4.0,9.0,42.0,27.0,15.0,12.0,205.0,65.0,13.0,67.0,52.0,17.0,360.0,39.0,99.0,310.0,59.0,40.0,77.0,80.0
645,18.0,0.0,2.0,7.0,6.0,10.0,50.0,1.0,19.0,16.0,173.0,20.0,41.0,87.0,14.0,9.0,67.0,79.0,68.0,74.0,28.0,17.0,3.0,48.0,36.0,52.0,735.0,4.0,22.0,49.0
694,0.0,41.0,59.0,16.0,7.0,3.0,47.0,1.0,5.0,289.0,25.0,36.0,28.0,33.0,38.0,57.0,541.0,119.0,2.0,87.0,11.0,45.0,4.0,64.0,78.0,26.0,48.0,9.0,172.0,53.0
743,3.0,44.0,28.0,7.0,58.0,32.0,97.0,0.0,1.0,5.0,83.0,19.0,62.0,21.0,9.0,4.0,6.0,230.0,2.0,20.0,30.0,18.0,24.0,323.0,147.0,80.0,17.0,10.0,65.0,38.0
792,5.0,4.0,2.0,1.0,9.0,6.0,140.0,3.0,7.0,11.0,102.0,0.0,19.0,15.0,18.0,40.0,236.0,38.0,71.0,120.0,27.0,141.0,12.0,21.0,36.0,65.0,500.0,33.0,173.0,41.0
841,4.0,8.0,10.0,15.0,25.0,5.0,38.0,0.0,6.0,12.0,57.0,27.0,13.0,14.0,19.0,1.0,29.0,61.0,11.0,113.0,66.0,18.0,2.0,127.0,118.0,28.0,46.0,20.0,36.0,50.0
890,32.0,8.0,5.0,4.0,7.0,11.0,75.0,14.0,12.0,3.0,9.0,30.0,118.0,24.0,10.0,34.0,125.0,21.0,25.0,767.0,47.0,27.0,0.0,630.0,49.0,1.0,163.0,110.0,299.0,107.0
939,10.0,0.0,1.0,3.0,39.0,18.0,13.0,26.0,15.0,9.0,65.0,6.0,84.0,30.0,5.0,4.0,20.0,31.0,29.0,248.0,70.0,93.0,17.0,87.0,22.0,2.0,52.0,61.0,60.0,131.0
988,0.0,5.0,7.0,1.0,10.0,42.0,8.0,20.0,9.0,12.0,4.0,27.0,2.0,49.0,76.0,28.0,191.0,18.0,294.0,15.0,30.0,165.0,22.0,13.0,19.0,48.0,17.0,150.0,66.0,33.0
1037,0.0,3.0,4.0,1.0,13.0,117.0,207.0,41.0,14.0,49.0,7.0,9.0,30.0,20.0,16.0,15.0,32.0,56.0,6.0,2.0,27.0,48.0,40.0,80.0,64.0,23.0,17.0,463.0,285.0,89.0
1086,1.0,6.0,222.0,67.0,25.0,11.0,20.0,22.0,21.0,2.0,19.0,30.0,15.0,17.0,8.0,7.0,0.0,14.0,125.0,36.0,24.0,183.0,43.0,75.0,10.0,13.0,31.0,159.0,50.0,342.0
1135,2.0,0.0,18.0,1.0,3.0,16.0,30.0,22.0,4.0,9.0,123.0,54.0,7.0,57.0,21.0,10.0,5.0,33.0,43.0,62.0,73.0,25.0,51.0,32.0,20.0,23.0,41.0,78.0,39.0,71.0
1184,4.0,1.0,21.0,0.0,25.0,29.0,28.0,5.0,31.0,17.0,3.0,26.0,10.0,114.0,63.0,16.0,2.0,52.0,23.0,11.0,124.0,67.0,6.0,151.0,37.0,110.0,74.0,82.0,49.0,132.0
1233,0.0,6.0,37.0,1.0,36.0,69.0,73.0,34.0,22.0,3.0,4.0,13.0,42.0,5.0,27.0,24.0,9.0,55.0,2.0,7.0,39.0,52.0,798.0,92.0,147.0,15.0,20.0,28.0,70.0,76.0
1282,0.0,2.0,14.0,6.0,18.0,7.0,9.0,32.0,42.0,12.0,5.0,17.0,3.0,22.0,33.0,10.0,1.0,31.0,4.0,11.0,37.0,188.0,54.0,35.0,49.0,29.0,21.0,78.0,39.0,201.0
1331,0.0,2.0,19.0,1.0,8.0,15.0,4.0,5.0,21.0,12.0,35.0,45.0,3.0,24.0,33.0,11.0,7.0,49.0,88.0,266.0,14.0,129.0,16.0,63.0,74.0,64.0,26.0,411.0,51.0,43.0
1380,0.0,2.0,19.0,7.0,12.0,79.0,37.0,18.0,13.0,4.0,25.0,8.0,28.0,90.0,23.0,6.0,3.0,15.0,9.0,36.0,45.0,93.0,10.0,5.0,29.0,22.0,11.0,166.0,20.0,101.0
1429,0.0,6.0,10.0,24.0,46.0,11.0,85.0,565.0,5.0,40.0,20.0,3.0,99.0,198.0,50.0,1179.0,2.0,54.0,196.0,14.0,34.0,78.0,19.0,57.0,9.0,448.0,95.0,103.0,650.0,52.0
1478,0.0,244.0,24.0,40.0,8.0,1.0,319.0,195.0,152.0,16.0,4.0,83.0,92.0,25.0,11.0,18.0,75.0,7.0,2.0,13.0,29.0,6.0,146.0,81.0,420.0,170.0,22.0,60.0,931.0,52.0
1527,0.0,194.0,31.0,2.0,3.0,1.0,33.0,7.0,22.0,59.0,450.0,49.0,5.0,8.0,56.0,15.0,93.0,6.0,9.0,66.0,23.0,72.0,18.0,4.0,35.0,257.0,82.0,107.0,42.0,44.0
1576,0.0,28.0,72.0,2.0,4.0,1.0,13.0,3.0,74.0,35.0,463.0,25.0,5.0,17.0,24.0,8.0,41.0,7.0,33.0,411.0,60.0,15.0,18.0,30.0,131.0,69.0,121.0,115.0,107.0,22.0
1625,0.0,12.0,22.0,107.0,10.0,2.0,7.0,18.0,73.0,287.0,24.0,48.0,82.0,121.0,44.0,38.0,179.0,6.0,25.0,117.0,28.0,15.0,1.0,4.0,31.0,305.0,89.0,66.0,280.0,30.0
1674,0.0,73.0,86.0,39.0,48.0,2.0,71.0,1.0,63.0,58.0,59.0,41.0,14.0,9.0,23.0,7.0,78.0,3.0,8.0,57.0,6.0,11.0,4.0,17.0,76.0,283.0,94.0,45.0,92.0,70.0
