,guanosine,C22:6 CE,C16:0 LPE,asparagine,creatine,N-carbamoyl-beta-alanine,beta-alanine,sarcosine,carnitine,putrescine,2-deoxycytidine,C56:5 TAG,1-methylnicotinamide,butyrylcarnitine/isobutyrylcarnitine,GABA,C22:6 LPE,homocysteine,3-phosphoglycerate,C36:1 DAG,C20:4 CE,C18:0 LPE,taurodeoxycholate,inositol,PEP,cis/trans-hydroxyproline,serine,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,C22:6 LPC
3261,7.0,24.0,0.0,29.0,4.0,13.0,9.0,18.0,2.0,11.0,15.0,53.0,49.0,40.0,52.0,20.0,27.0,3.0,44.0,23.0,1.0,5.0,32.0,28.0,26.0,51.0,10.0,6.0,31.0,37.0
3310,1.0,5.0,0.0,3.0,12.0,2.0,21.0,39.0,19.0,15.0,24.0,17.0,11.0,20.0,18.0,36.0,7.0,4.0,28.0,27.0,29.0,53.0,22.0,49.0,60.0,23.0,65.0,44.0,26.0,42.0
3359,9.0,1.0,0.0,13.0,4.0,10.0,5.0,31.0,34.0,16.0,19.0,64.0,40.0,35.0,63.0,37.0,42.0,41.0,24.0,23.0,14.0,2.0,11.0,52.0,60.0,8.0,28.0,25.0,48.0,38.0
3408,2.0,0.0,19.0,41.0,13.0,10.0,38.0,17.0,57.0,15.0,7.0,1.0,3.0,48.0,9.0,20.0,66.0,14.0,23.0,24.0,42.0,4.0,31.0,62.0,51.0,52.0,6.0,34.0,29.0,18.0
3457,2.0,8.0,4.0,5.0,64.0,21.0,15.0,19.0,20.0,34.0,3.0,9.0,17.0,10.0,14.0,7.0,44.0,37.0,24.0,26.0,43.0,52.0,55.0,23.0,11.0,57.0,12.0,29.0,1.0,39.0
3506,4.0,2.0,3.0,8.0,1.0,18.0,9.0,21.0,45.0,10.0,13.0,6.0,12.0,32.0,11.0,15.0,23.0,22.0,19.0,20.0,38.0,0.0,48.0,28.0,53.0,49.0,14.0,31.0,5.0,36.0
3555,3.0,9.0,0.0,12.0,1.0,4.0,21.0,20.0,42.0,15.0,8.0,60.0,14.0,16.0,17.0,30.0,66.0,44.0,37.0,10.0,40.0,5.0,32.0,25.0,19.0,56.0,65.0,28.0,29.0,36.0
3604,0.0,42.0,2.0,11.0,19.0,16.0,1.0,10.0,15.0,38.0,34.0,5.0,18.0,35.0,22.0,28.0,44.0,13.0,25.0,41.0,9.0,4.0,14.0,3.0,8.0,59.0,27.0,51.0,52.0,32.0
3653,0.0,2.0,1.0,8.0,4.0,17.0,44.0,38.0,36.0,21.0,26.0,9.0,24.0,37.0,22.0,10.0,12.0,45.0,28.0,35.0,29.0,5.0,31.0,11.0,15.0,59.0,64.0,34.0,25.0,41.0
3702,0.0,21.0,9.0,29.0,4.0,57.0,8.0,25.0,7.0,6.0,18.0,24.0,5.0,46.0,16.0,11.0,1.0,26.0,13.0,20.0,15.0,2.0,55.0,27.0,51.0,52.0,62.0,30.0,42.0,40.0
3751,0.0,20.0,1.0,3.0,64.0,17.0,36.0,12.0,33.0,7.0,16.0,6.0,5.0,40.0,11.0,29.0,18.0,41.0,22.0,21.0,27.0,4.0,14.0,28.0,58.0,55.0,25.0,23.0,49.0,24.0
3800,0.0,29.0,1.0,6.0,2.0,5.0,8.0,10.0,12.0,36.0,19.0,3.0,14.0,7.0,61.0,28.0,42.0,20.0,33.0,30.0,23.0,53.0,9.0,24.0,13.0,57.0,4.0,34.0,49.0,41.0
3849,0.0,10.0,9.0,28.0,6.0,14.0,11.0,20.0,4.0,57.0,16.0,15.0,7.0,8.0,18.0,21.0,26.0,17.0,23.0,44.0,36.0,31.0,32.0,49.0,52.0,54.0,5.0,27.0,43.0,38.0
3898,1.0,2.0,25.0,3.0,0.0,7.0,6.0,10.0,38.0,16.0,4.0,21.0,17.0,39.0,15.0,29.0,13.0,43.0,35.0,28.0,9.0,8.0,57.0,27.0,61.0,59.0,22.0,48.0,50.0,36.0
3947,0.0,1.0,11.0,3.0,60.0,17.0,33.0,32.0,31.0,14.0,8.0,19.0,47.0,13.0,7.0,38.0,25.0,66.0,23.0,2.0,37.0,4.0,26.0,30.0,51.0,15.0,63.0,10.0,45.0,35.0
3996,7.0,9.0,22.0,1.0,15.0,10.0,4.0,2.0,20.0,12.0,55.0,61.0,42.0,39.0,60.0,34.0,3.0,45.0,28.0,43.0,41.0,35.0,21.0,5.0,57.0,19.0,17.0,26.0,6.0,40.0
4045,12.0,11.0,2.0,1.0,23.0,3.0,39.0,19.0,9.0,21.0,54.0,14.0,33.0,15.0,60.0,38.0,24.0,43.0,34.0,32.0,29.0,0.0,13.0,27.0,57.0,6.0,5.0,10.0,8.0,40.0
4094,0.0,1.0,2.0,4.0,63.0,11.0,33.0,14.0,38.0,39.0,28.0,60.0,40.0,36.0,13.0,26.0,8.0,6.0,25.0,24.0,19.0,7.0,54.0,29.0,57.0,17.0,65.0,22.0,47.0,21.0
4143,12.0,0.0,9.0,13.0,31.0,1.0,24.0,21.0,16.0,14.0,2.0,61.0,40.0,17.0,6.0,10.0,4.0,42.0,15.0,34.0,28.0,11.0,23.0,3.0,58.0,56.0,41.0,22.0,20.0,27.0
4192,0.0,3.0,13.0,2.0,4.0,21.0,35.0,34.0,46.0,16.0,18.0,22.0,48.0,15.0,54.0,40.0,1.0,24.0,42.0,10.0,39.0,31.0,28.0,38.0,51.0,37.0,19.0,66.0,6.0,45.0
4241,9.0,0.0,2.0,1.0,59.0,16.0,8.0,7.0,20.0,19.0,63.0,55.0,48.0,32.0,14.0,47.0,25.0,4.0,12.0,22.0,39.0,30.0,6.0,26.0,52.0,24.0,62.0,11.0,3.0,37.0
4290,2.0,1.0,9.0,0.0,5.0,20.0,31.0,6.0,16.0,23.0,38.0,61.0,18.0,39.0,22.0,12.0,24.0,41.0,29.0,15.0,33.0,3.0,11.0,8.0,17.0,10.0,40.0,13.0,28.0,27.0
4339,0.0,1.0,10.0,5.0,60.0,20.0,34.0,33.0,30.0,7.0,8.0,2.0,15.0,31.0,22.0,11.0,4.0,66.0,23.0,42.0,37.0,6.0,14.0,57.0,51.0,16.0,17.0,26.0,64.0,44.0
4388,7.0,0.0,22.0,3.0,6.0,53.0,11.0,35.0,57.0,13.0,14.0,5.0,64.0,49.0,19.0,41.0,8.0,24.0,18.0,20.0,40.0,4.0,25.0,58.0,60.0,23.0,2.0,9.0,1.0,38.0
4437,29.0,1.0,0.0,22.0,18.0,4.0,10.0,11.0,14.0,6.0,16.0,3.0,15.0,7.0,54.0,9.0,23.0,2.0,42.0,19.0,17.0,34.0,32.0,25.0,20.0,49.0,5.0,31.0,26.0,8.0
4486,0.0,44.0,1.0,3.0,60.0,8.0,12.0,11.0,46.0,56.0,9.0,6.0,48.0,22.0,5.0,39.0,24.0,23.0,20.0,21.0,19.0,4.0,10.0,25.0,52.0,13.0,62.0,29.0,2.0,18.0
4535,3.0,0.0,2.0,28.0,9.0,8.0,20.0,19.0,15.0,25.0,14.0,16.0,54.0,17.0,63.0,23.0,27.0,4.0,38.0,37.0,22.0,33.0,5.0,31.0,43.0,64.0,13.0,7.0,50.0,21.0
4584,26.0,8.0,4.0,1.0,14.0,0.0,11.0,9.0,34.0,6.0,47.0,57.0,20.0,10.0,56.0,39.0,5.0,21.0,42.0,18.0,38.0,23.0,7.0,58.0,19.0,49.0,64.0,31.0,62.0,37.0
4633,11.0,4.0,0.0,7.0,1.0,5.0,37.0,36.0,19.0,49.0,18.0,6.0,64.0,20.0,15.0,23.0,10.0,3.0,44.0,45.0,22.0,61.0,31.0,8.0,26.0,30.0,60.0,40.0,12.0,21.0
4682,5.0,8.0,21.0,11.0,15.0,12.0,7.0,9.0,22.0,16.0,64.0,0.0,56.0,17.0,55.0,33.0,24.0,23.0,39.0,18.0,20.0,30.0,6.0,32.0,52.0,19.0,63.0,26.0,1.0,37.0
4731,1.0,21.0,0.0,3.0,56.0,9.0,45.0,46.0,24.0,64.0,23.0,8.0,18.0,19.0,11.0,22.0,2.0,25.0,17.0,7.0,41.0,31.0,10.0,30.0,42.0,63.0,15.0,28.0,49.0,43.0
4780,0.0,3.0,4.0,10.0,12.0,9.0,34.0,18.0,16.0,15.0,64.0,8.0,65.0,31.0,11.0,37.0,6.0,23.0,41.0,42.0,36.0,7.0,24.0,2.0,52.0,22.0,63.0,27.0,46.0,19.0
4829,28.0,1.0,0.0,8.0,17.0,20.0,9.0,3.0,37.0,15.0,63.0,54.0,16.0,6.0,5.0,11.0,25.0,24.0,38.0,22.0,10.0,30.0,33.0,32.0,51.0,56.0,62.0,26.0,44.0,23.0
4878,7.0,0.0,5.0,18.0,58.0,3.0,19.0,10.0,57.0,16.0,17.0,2.0,66.0,49.0,15.0,21.0,25.0,13.0,22.0,45.0,20.0,4.0,26.0,30.0,14.0,24.0,60.0,37.0,29.0,6.0
