,DYNC2H1_AMP,TRIM49_DEL,BIRC3_AMP,KRAS.G12_13_MUT,YAP1_AMP,EYA1_DEL,TMEM123_AMP,ETS1_DEL,CRTAM_DEL,MMP13_AMP,OR2T35_AMP,OR8B2_DEL,MIR4697_DEL,BCAS3_DEL,UQCC_AMP,DENND4C_DEL,LOC283174_DEL,BARX2_DEL,LOC341056_DEL,HLA-DRB6_AMP,C11orf70_AMP,MMP27_AMP,NOMO3_AMP,HEPACAM_DEL,CHN2_DEL,NCOA1_MUT,BOD1L2_DEL,PRH1-PRR4_AMP,LMAN1_DEL,CCBE1_DEL
2041,456.0,3.0,40.0,0.0,41.0,26.0,194.0,83.0,12478.0,35.0,19.0,416.0,1080.0,750.0,22134.0,152.0,6404.0,120.0,532.0,157.0,60.0,192.0,46.0,410.0,391.0,48.0,1235.0,354.0,12.0,20.0
2090,11.0,1.0,21.0,131.0,8.0,0.0,135.0,25.0,13017.0,10.0,234.0,6788.0,853.0,79.0,1800.0,60.0,6996.0,9141.0,845.0,92.0,13.0,255.0,85.0,53.0,107.0,17213.0,1870.0,912.0,4369.0,6118.0
2139,96.0,37.0,61.0,1.0,14.0,0.0,9.0,11.0,12499.0,14720.0,351.0,552.0,18993.0,42.0,5.0,18.0,520.0,110.0,4051.0,52.0,39.0,21975.0,6.0,7564.0,165.0,17188.0,7249.0,238.0,5257.0,378.0
2188,58.0,65.0,29.0,8.0,5.0,1.0,3.0,148.0,12513.0,208.0,490.0,5731.0,19003.0,41.0,61.0,1365.0,5927.0,536.0,4014.0,16.0,11.0,207.0,12.0,574.0,31.0,19.0,7352.0,175.0,5325.0,6865.0
2237,42.0,8.0,34.0,3.0,11.0,1.0,12.0,126.0,583.0,192.0,0.0,446.0,89.0,43.0,61.0,11383.0,7034.0,21.0,4015.0,33.0,38.0,22774.0,10.0,444.0,16.0,1142.0,112.0,2763.0,5369.0,14.0
2286,110.0,3.0,42.0,87.0,12.0,34.0,19.0,437.0,522.0,275.0,1.0,7502.0,19005.0,81.0,33.0,11.0,6552.0,473.0,5092.0,289.0,53.0,21963.0,55.0,5653.0,5.0,132.0,6979.0,514.0,4158.0,299.0
2335,10.0,8.0,241.0,601.0,3.0,1.0,64.0,61.0,11051.0,326.0,353.0,7759.0,18773.0,20.0,1084.0,19.0,684.0,81.0,4261.0,135.0,17.0,22764.0,257.0,5664.0,627.0,203.0,6722.0,666.0,4741.0,137.0
2384,37.0,18.0,49.0,14.0,7.0,12.0,27.0,223.0,12385.0,882.0,17977.0,629.0,19940.0,76.0,82.0,50.0,8458.0,626.0,383.0,1052.0,120.0,206.0,330.0,732.0,197.0,1927.0,7703.0,16.0,3800.0,20480.0
2433,19.0,93.0,23.0,0.0,16.0,3.0,46.0,34.0,94.0,286.0,58.0,329.0,21.0,1663.0,75.0,24.0,45.0,12.0,4072.0,1117.0,37.0,435.0,308.0,80.0,20184.0,117.0,598.0,650.0,160.0,276.0
2482,21618.0,23.0,18115.0,8.0,251.0,12.0,358.0,93.0,9.0,115.0,3322.0,450.0,55.0,237.0,15602.0,95.0,338.0,20.0,22.0,6.0,459.0,15257.0,477.0,448.0,1997.0,130.0,7290.0,885.0,5696.0,20707.0
2531,12.0,12083.0,36.0,60.0,21.0,172.0,1390.0,130.0,11.0,3.0,322.0,47.0,32.0,1801.0,213.0,9.0,66.0,463.0,25.0,8.0,23170.0,69.0,6.0,48.0,20184.0,99.0,30.0,1029.0,23.0,416.0
2580,97.0,2399.0,29.0,84.0,10.0,505.0,16.0,88.0,8.0,14695.0,18.0,11.0,30.0,62.0,341.0,116.0,31.0,28.0,25.0,553.0,6.0,1.0,133.0,36.0,40.0,822.0,0.0,3637.0,12.0,103.0
2629,49.0,4.0,14379.0,13.0,850.0,17.0,60.0,5232.0,26.0,266.0,36.0,170.0,18.0,35.0,11.0,610.0,122.0,111.0,150.0,71.0,22810.0,800.0,1189.0,185.0,22.0,657.0,7064.0,430.0,390.0,6079.0
2678,15.0,61.0,301.0,489.0,444.0,2.0,17100.0,139.0,26.0,514.0,839.0,202.0,30.0,84.0,0.0,37.0,29.0,13.0,32.0,181.0,23971.0,76.0,31.0,40.0,232.0,142.0,18.0,300.0,10.0,1.0
2727,12.0,1094.0,310.0,24134.0,735.0,357.0,109.0,267.0,232.0,6.0,111.0,387.0,20895.0,255.0,391.0,49.0,7413.0,240.0,14.0,34.0,88.0,169.0,5.0,19.0,7.0,9.0,13.0,922.0,178.0,1.0
2776,0.0,28.0,351.0,32.0,432.0,17.0,42.0,35.0,24.0,62.0,243.0,36.0,15.0,84.0,12.0,195.0,171.0,19.0,122.0,86.0,304.0,80.0,52.0,211.0,88.0,1400.0,6909.0,175.0,398.0,2718.0
2825,57.0,231.0,566.0,827.0,3028.0,55.0,21876.0,172.0,39.0,732.0,125.0,19.0,113.0,259.0,108.0,954.0,60.0,222.0,35.0,3.0,21931.0,891.0,1.0,43.0,27.0,11682.0,4.0,312.0,3941.0,203.0
