,OR51A2_DEL,OR51A4_DEL,ACACB_MUT,NRXN1_DEL,ZBTB20_AMP,HLA-DRB1_AMP,HLA-DRB6_AMP,DST_MUT,TNK2_MUT,SIRPB1_AMP,HERC2P2_AMP,CTNNA2_MUT,USP32P2_DEL,CREBBP_MUT,APOBEC3A_B_DEL,SPEN_MUT,EP300_MUT,ZNF705G_AMP,JAK2_AMP,ACOT1_DEL,BTNL3_DEL,KIAA0125_AMP,HEATR4_DEL,BTNL8_DEL,MUSK_MUT,ADAM6_AMP,LINC00226_AMP,LRP1B_DEL,APBA1_AMP,FLNA_MUT
3950,0.0,7.0,8.0,14.0,15.0,16.0,4.0,38.0,9.0,2.0,77.0,60.0,3.0,114.0,10.0,67.0,1.0,276.0,143.0,256.0,17.0,14478.0,142.0,21.0,39.0,9620.0,48.0,29.0,49.0,119.0
3999,0.0,1.0,5.0,3.0,13.0,33.0,42.0,7.0,28.0,9.0,91.0,26.0,12.0,27.0,4.0,17.0,2.0,19.0,183.0,18.0,146.0,925.0,11.0,386.0,123.0,244.0,69.0,74.0,25.0,6.0
4048,0.0,2.0,3.0,26.0,1.0,28.0,22.0,37.0,14.0,79.0,9.0,30.0,21.0,29.0,6.0,31.0,4.0,144.0,357.0,12.0,51.0,709.0,7.0,139.0,417.0,220.0,69.0,16.0,612.0,24.0
4097,0.0,1.0,2.0,7.0,15.0,3.0,4.0,16.0,14.0,47.0,186.0,35.0,12.0,8.0,9.0,18.0,6.0,45.0,338.0,21.0,96.0,522.0,17.0,230.0,30.0,161.0,86.0,110.0,41.0,13.0
4146,0.0,1.0,2.0,7.0,6.0,3.0,5.0,24.0,9.0,13.0,95.0,22.0,48.0,52.0,4.0,21.0,12.0,33.0,992.0,41.0,28.0,137.0,29.0,37.0,51.0,46.0,66.0,40.0,43.0,14.0
4195,0.0,2.0,5.0,3.0,1.0,13.0,16.0,18.0,17.0,8.0,72.0,25.0,4.0,14.0,6.0,23.0,21.0,92.0,147.0,35.0,26.0,4963.0,24.0,47.0,36.0,1385.0,195.0,167.0,44.0,11.0
4244,0.0,2.0,3.0,1.0,19.0,6.0,7.0,27.0,12.0,80.0,227.0,56.0,9.0,8.0,5.0,20.0,4.0,88.0,284.0,68.0,18.0,812.0,67.0,33.0,50.0,240.0,135.0,61.0,34.0,17.0
4293,0.0,1.0,3.0,2.0,77.0,20.0,22.0,12.0,57.0,25.0,39.0,32.0,6.0,7.0,14.0,13.0,9.0,10.0,161.0,53.0,16.0,3622.0,33.0,19.0,44.0,618.0,167.0,45.0,47.0,94.0
4342,3.0,33.0,4.0,9.0,11.0,0.0,2.0,55.0,12.0,2414.0,65.0,36.0,15.0,26.0,32.0,40.0,24.0,20.0,184.0,2422.0,107.0,508.0,981.0,62.0,124.0,145.0,16.0,37.0,42.0,25.0
4391,0.0,2.0,1.0,8.0,9.0,3.0,4.0,12.0,33.0,25.0,131.0,19.0,11.0,35.0,5.0,23.0,7.0,22.0,194.0,18.0,42.0,883.0,15.0,50.0,28.0,274.0,24.0,27.0,94.0,51.0
4440,1.0,0.0,7.0,17.0,2.0,221.0,1075.0,5.0,8.0,67.0,46.0,14.0,38.0,79.0,15.0,18.0,134.0,88.0,21.0,37.0,35.0,4.0,60.0,41.0,1288.0,3.0,6.0,12.0,231.0,24.0
4489,1.0,0.0,5.0,6.0,2.0,47.0,194.0,4.0,7.0,3.0,21.0,12.0,18.0,53.0,17.0,74.0,57.0,8.0,22.0,16.0,32.0,15.0,20.0,62.0,90.0,23.0,13.0,25.0,33.0,61.0
4538,0.0,2.0,4.0,1.0,9.0,7.0,19.0,3.0,26.0,110.0,14.0,6.0,28.0,76.0,13.0,44.0,222.0,78.0,27.0,5.0,21.0,18.0,8.0,16.0,79.0,22.0,49.0,12.0,45.0,103.0
4587,0.0,2.0,15.0,10.0,8.0,1.0,3.0,6.0,19.0,32.0,17.0,18.0,37.0,26.0,16.0,92.0,66.0,7.0,21.0,22.0,13.0,11.0,14.0,9.0,70.0,12.0,20.0,24.0,60.0,35.0
4636,0.0,1.0,3.0,9.0,43.0,6.0,17.0,2.0,5.0,13.0,48.0,11.0,26.0,54.0,20.0,14.0,50.0,379.0,148.0,32.0,82.0,37.0,36.0,113.0,64.0,40.0,4.0,7.0,41.0,23.0
4685,0.0,7.0,27.0,5.0,16.0,11.0,37.0,2.0,4.0,3.0,872.0,185.0,20.0,82.0,23.0,127.0,43.0,14.0,25.0,8.0,89.0,10.0,6.0,259.0,100.0,22.0,1.0,39.0,46.0,35.0
4734,0.0,2.0,13.0,7.0,1.0,16.0,46.0,3.0,10.0,6.0,146.0,12.0,68.0,31.0,21.0,305.0,241.0,32.0,15.0,18.0,24.0,14.0,19.0,28.0,57.0,17.0,4.0,56.0,41.0,29.0
4783,0.0,1.0,11.0,10.0,21.0,14.0,13.0,9.0,19.0,6.0,46.0,15.0,22.0,48.0,28.0,37.0,111.0,31.0,36.0,2.0,42.0,7.0,5.0,47.0,73.0,8.0,18.0,12.0,23.0,25.0
4832,0.0,3.0,12.0,1.0,6.0,8.0,30.0,2.0,13.0,9.0,55.0,5.0,14.0,43.0,31.0,54.0,2730.0,27.0,22.0,10.0,18.0,4.0,11.0,35.0,110.0,7.0,34.0,46.0,45.0,24.0
4881,0.0,1.0,3.0,2.0,17.0,8.0,22.0,5.0,16.0,14.0,10.0,19.0,15.0,21.0,263.0,104.0,93.0,9.0,20.0,11.0,32.0,6.0,13.0,46.0,172.0,4.0,7.0,26.0,39.0,34.0
