,hsa-miR-216a,hsa-miR-205,hsa-miR-223,hsa-miR-375,hsa-miR-934,hsa-miR-1539,hsa-miR-615-3p,hsa-let-7e,hsa-miR-9,hsa-miR-671-3p,hsa-miR-339-5p,hsa-miR-139-5p,hsa-miR-142-5p,hsa-miR-220b,hsa-miR-28-3p,hsa-miR-1246,hsa-miR-135b,hsa-miR-30e,hsa-miR-2053,hsa-miR-320d,hsa-miR-296-5p,hsa-miR-30c,hsa-miR-222,hsa-miR-323-3p,hsa-miR-518b,hsa-miR-1180,hsa-miR-515-3p,hsa-miR-557,hsa-miR-509-5p,hsa-miR-155
3399,0.0,2.0,3.0,8.0,50.0,110.0,4.0,6.0,117.0,66.0,20.0,15.0,5.0,33.0,7.0,1.0,32.0,538.0,27.0,151.0,16.0,435.0,303.0,18.0,121.0,88.0,89.0,90.0,13.0,77.0
3448,0.0,10.0,1.0,6.0,28.0,9.0,2.0,13.0,27.0,323.0,40.0,32.0,8.0,4.0,21.0,184.0,135.0,37.0,12.0,172.0,149.0,366.0,218.0,24.0,33.0,208.0,349.0,168.0,94.0,118.0
3497,0.0,4.0,3.0,5.0,29.0,1.0,2.0,9.0,26.0,36.0,157.0,75.0,22.0,27.0,23.0,34.0,71.0,6.0,176.0,16.0,31.0,449.0,10.0,8.0,15.0,12.0,32.0,82.0,363.0,51.0
3546,0.0,40.0,1.0,55.0,59.0,128.0,5.0,3.0,10.0,138.0,182.0,24.0,57.0,15.0,31.0,4.0,179.0,61.0,60.0,477.0,247.0,124.0,106.0,38.0,33.0,29.0,85.0,11.0,246.0,354.0
3595,0.0,2.0,1.0,9.0,309.0,5.0,4.0,146.0,13.0,3.0,33.0,22.0,28.0,11.0,6.0,43.0,152.0,16.0,54.0,49.0,25.0,37.0,168.0,7.0,15.0,409.0,27.0,31.0,554.0,45.0
3644,0.0,4.0,3.0,10.0,9.0,2.0,30.0,46.0,11.0,7.0,17.0,89.0,12.0,16.0,1.0,353.0,38.0,18.0,61.0,55.0,14.0,67.0,190.0,135.0,28.0,400.0,85.0,25.0,253.0,232.0
3693,3.0,1.0,2.0,9.0,14.0,0.0,13.0,5.0,12.0,7.0,18.0,16.0,70.0,11.0,24.0,82.0,383.0,4.0,10.0,505.0,335.0,38.0,228.0,20.0,23.0,74.0,22.0,21.0,475.0,432.0
3742,1.0,0.0,7.0,6.0,97.0,9.0,77.0,15.0,21.0,108.0,8.0,13.0,10.0,55.0,2.0,104.0,372.0,23.0,49.0,81.0,4.0,125.0,109.0,3.0,25.0,26.0,308.0,41.0,87.0,100.0
3791,0.0,3.0,4.0,10.0,12.0,6.0,1.0,5.0,9.0,21.0,85.0,161.0,2.0,276.0,24.0,64.0,51.0,7.0,78.0,60.0,30.0,20.0,395.0,16.0,449.0,11.0,126.0,8.0,273.0,91.0
3840,1.0,12.0,0.0,4.0,15.0,13.0,2.0,22.0,17.0,181.0,19.0,39.0,89.0,3.0,162.0,38.0,32.0,8.0,26.0,62.0,9.0,240.0,98.0,6.0,40.0,10.0,79.0,85.0,58.0,28.0
3889,0.0,1.0,3.0,2.0,23.0,5.0,122.0,54.0,25.0,51.0,107.0,73.0,71.0,20.0,36.0,39.0,247.0,186.0,9.0,79.0,32.0,114.0,17.0,4.0,44.0,234.0,52.0,165.0,153.0,14.0
3938,6.0,0.0,4.0,11.0,1.0,32.0,250.0,77.0,10.0,22.0,19.0,219.0,82.0,56.0,9.0,48.0,70.0,3.0,265.0,38.0,102.0,14.0,197.0,5.0,41.0,15.0,306.0,352.0,450.0,246.0
3987,0.0,20.0,1.0,2.0,6.0,32.0,22.0,77.0,38.0,8.0,96.0,5.0,4.0,39.0,499.0,3.0,360.0,12.0,60.0,115.0,25.0,10.0,16.0,26.0,68.0,24.0,278.0,130.0,71.0,110.0
4036,0.0,10.0,3.0,8.0,1.0,144.0,128.0,14.0,5.0,25.0,2.0,15.0,22.0,258.0,338.0,7.0,45.0,11.0,533.0,66.0,200.0,6.0,40.0,37.0,62.0,13.0,54.0,138.0,151.0,227.0
4085,0.0,274.0,1.0,3.0,12.0,262.0,11.0,5.0,51.0,2.0,60.0,18.0,36.0,13.0,80.0,20.0,146.0,64.0,58.0,91.0,353.0,28.0,307.0,223.0,9.0,101.0,220.0,135.0,48.0,79.0
4134,1.0,6.0,7.0,13.0,0.0,95.0,3.0,8.0,26.0,5.0,12.0,186.0,2.0,177.0,46.0,96.0,271.0,21.0,263.0,539.0,4.0,28.0,92.0,16.0,144.0,14.0,20.0,317.0,124.0,527.0
4183,0.0,5.0,2.0,20.0,1.0,9.0,71.0,59.0,8.0,11.0,6.0,204.0,142.0,92.0,14.0,26.0,179.0,3.0,424.0,70.0,221.0,32.0,96.0,17.0,16.0,18.0,31.0,73.0,491.0,150.0
4232,2.0,29.0,0.0,8.0,1.0,24.0,14.0,201.0,93.0,17.0,46.0,5.0,7.0,34.0,16.0,71.0,271.0,3.0,18.0,334.0,66.0,145.0,196.0,21.0,4.0,224.0,33.0,43.0,365.0,35.0
4281,2.0,4.0,1.0,99.0,0.0,65.0,23.0,376.0,3.0,43.0,11.0,98.0,171.0,46.0,506.0,15.0,18.0,61.0,213.0,124.0,13.0,322.0,6.0,21.0,394.0,121.0,183.0,95.0,96.0,44.0
4330,1.0,22.0,4.0,6.0,0.0,63.0,51.0,84.0,7.0,12.0,13.0,114.0,65.0,93.0,19.0,9.0,231.0,55.0,23.0,159.0,57.0,3.0,48.0,234.0,493.0,2.0,105.0,43.0,115.0,243.0
4379,5.0,2.0,0.0,25.0,1.0,19.0,7.0,10.0,11.0,23.0,34.0,59.0,37.0,204.0,47.0,32.0,96.0,43.0,102.0,3.0,62.0,38.0,78.0,24.0,154.0,12.0,45.0,49.0,4.0,27.0
4428,1.0,4.0,7.0,2.0,9.0,49.0,0.0,11.0,10.0,90.0,238.0,61.0,3.0,165.0,199.0,37.0,17.0,20.0,16.0,184.0,21.0,34.0,12.0,134.0,121.0,63.0,92.0,158.0,172.0,173.0
4477,1.0,0.0,23.0,10.0,38.0,54.0,2.0,6.0,20.0,15.0,65.0,246.0,42.0,26.0,18.0,91.0,24.0,12.0,7.0,527.0,73.0,28.0,48.0,35.0,512.0,63.0,83.0,550.0,277.0,21.0
4526,0.0,3.0,12.0,18.0,8.0,40.0,4.0,14.0,2.0,11.0,7.0,28.0,1.0,67.0,85.0,60.0,13.0,41.0,84.0,103.0,149.0,50.0,34.0,194.0,158.0,5.0,102.0,138.0,466.0,65.0
4575,0.0,13.0,11.0,52.0,17.0,9.0,1.0,8.0,7.0,5.0,39.0,18.0,30.0,383.0,512.0,93.0,3.0,160.0,238.0,33.0,457.0,225.0,149.0,71.0,192.0,14.0,2.0,26.0,201.0,110.0
4624,1.0,13.0,48.0,6.0,8.0,84.0,3.0,10.0,0.0,17.0,16.0,42.0,2.0,81.0,64.0,129.0,14.0,382.0,72.0,18.0,21.0,207.0,121.0,302.0,301.0,12.0,62.0,189.0,554.0,27.0
4673,1.0,0.0,4.0,73.0,17.0,3.0,2.0,77.0,6.0,389.0,5.0,9.0,50.0,60.0,8.0,447.0,10.0,321.0,19.0,108.0,38.0,67.0,26.0,238.0,89.0,62.0,13.0,25.0,43.0,45.0
4722,0.0,32.0,24.0,16.0,234.0,44.0,11.0,2.0,15.0,231.0,408.0,27.0,1.0,268.0,207.0,125.0,9.0,168.0,279.0,12.0,91.0,186.0,23.0,5.0,233.0,3.0,66.0,149.0,368.0,13.0
4771,2.0,6.0,0.0,4.0,27.0,17.0,1.0,111.0,7.0,9.0,80.0,20.0,3.0,15.0,8.0,50.0,11.0,68.0,35.0,56.0,19.0,186.0,10.0,151.0,38.0,112.0,249.0,233.0,502.0,16.0
4820,0.0,18.0,14.0,3.0,20.0,16.0,1.0,274.0,6.0,24.0,7.0,115.0,21.0,141.0,28.0,72.0,53.0,79.0,522.0,4.0,170.0,304.0,42.0,93.0,398.0,43.0,35.0,31.0,27.0,121.0
4869,1.0,2.0,45.0,5.0,4.0,17.0,11.0,76.0,0.0,13.0,8.0,9.0,16.0,75.0,133.0,39.0,7.0,32.0,213.0,23.0,99.0,101.0,14.0,10.0,47.0,6.0,48.0,30.0,51.0,400.0
