,XBP1,Lck,eEF2,Chk2,FRA1,Cyclin_B1,Src_pY416,Notch1,Caspase-7_cleavedD198,PDCD4,MSH6,PTEN,Myosin IIa pS1943,Annexin 1,GAPDH,Caveolin-1,CD49b,4E-BP1,VAV1,Bax,Porin,AMPK_pT172,Stathmin,MDMX_MDM4(BetIHC-00108),p38_pT180_Y182,PI3K-p110-alpha,SF2,Chk1_pS345,C-Raf(BD610151),c-Myc
3678,0.0,2.0,3.0,16.0,25.0,7.0,4.0,31.0,12.0,11.0,5.0,1.0,10.0,98.0,6.0,9.0,83.0,15.0,22.0,17.0,8.0,24.0,14.0,37.0,45.0,28.0,26.0,34.0,18.0,19.0
3727,0.0,1.0,2.0,15.0,7.0,3.0,6.0,23.0,16.0,5.0,11.0,8.0,9.0,28.0,19.0,10.0,13.0,4.0,55.0,18.0,12.0,25.0,20.0,33.0,31.0,24.0,21.0,14.0,93.0,27.0
3776,0.0,3.0,2.0,21.0,17.0,19.0,1.0,25.0,20.0,14.0,9.0,5.0,13.0,28.0,16.0,6.0,15.0,10.0,32.0,29.0,4.0,7.0,11.0,12.0,52.0,22.0,65.0,110.0,23.0,18.0
3825,0.0,1.0,2.0,12.0,18.0,5.0,3.0,23.0,6.0,8.0,28.0,4.0,11.0,20.0,7.0,13.0,16.0,10.0,33.0,17.0,9.0,19.0,14.0,35.0,36.0,75.0,26.0,25.0,22.0,27.0
3874,0.0,1.0,2.0,12.0,11.0,9.0,3.0,41.0,8.0,7.0,10.0,6.0,25.0,15.0,17.0,14.0,26.0,4.0,18.0,28.0,64.0,98.0,5.0,27.0,53.0,22.0,19.0,116.0,85.0,86.0
3923,0.0,1.0,2.0,3.0,9.0,8.0,10.0,12.0,4.0,7.0,41.0,11.0,23.0,14.0,6.0,21.0,13.0,33.0,16.0,26.0,19.0,15.0,5.0,25.0,24.0,78.0,17.0,37.0,29.0,87.0
3972,0.0,1.0,3.0,2.0,5.0,9.0,21.0,13.0,4.0,30.0,7.0,6.0,8.0,20.0,19.0,88.0,15.0,107.0,23.0,33.0,18.0,10.0,14.0,26.0,12.0,17.0,16.0,25.0,93.0,94.0
4021,0.0,3.0,4.0,1.0,2.0,11.0,7.0,15.0,13.0,9.0,6.0,18.0,10.0,5.0,30.0,21.0,17.0,111.0,14.0,20.0,22.0,16.0,12.0,28.0,8.0,23.0,27.0,87.0,26.0,91.0
4070,0.0,1.0,2.0,3.0,6.0,9.0,5.0,20.0,4.0,7.0,8.0,11.0,10.0,17.0,26.0,30.0,12.0,16.0,14.0,99.0,71.0,21.0,24.0,22.0,13.0,19.0,18.0,27.0,87.0,88.0
4119,0.0,5.0,2.0,1.0,3.0,10.0,8.0,26.0,4.0,11.0,6.0,12.0,9.0,25.0,34.0,31.0,21.0,20.0,23.0,96.0,27.0,13.0,7.0,17.0,14.0,16.0,22.0,94.0,87.0,28.0
4168,0.0,3.0,1.0,2.0,12.0,16.0,6.0,33.0,7.0,13.0,8.0,4.0,10.0,11.0,9.0,15.0,22.0,17.0,23.0,91.0,14.0,19.0,5.0,25.0,35.0,32.0,18.0,114.0,83.0,29.0
4217,0.0,3.0,2.0,1.0,10.0,12.0,14.0,20.0,4.0,11.0,8.0,5.0,7.0,15.0,13.0,88.0,16.0,112.0,42.0,28.0,9.0,19.0,6.0,43.0,21.0,18.0,68.0,83.0,90.0,26.0
4266,1.0,0.0,3.0,2.0,7.0,15.0,14.0,22.0,4.0,10.0,5.0,8.0,16.0,9.0,18.0,12.0,13.0,27.0,17.0,92.0,11.0,20.0,6.0,44.0,49.0,24.0,29.0,103.0,85.0,86.0
4315,0.0,3.0,1.0,2.0,5.0,9.0,8.0,18.0,4.0,12.0,11.0,14.0,7.0,31.0,6.0,24.0,28.0,17.0,27.0,19.0,23.0,29.0,16.0,22.0,10.0,13.0,34.0,33.0,30.0,89.0
4364,1.0,5.0,3.0,0.0,7.0,9.0,2.0,11.0,4.0,17.0,8.0,6.0,46.0,14.0,16.0,23.0,12.0,105.0,21.0,29.0,20.0,28.0,31.0,32.0,10.0,27.0,30.0,18.0,87.0,88.0
4413,0.0,1.0,2.0,8.0,3.0,9.0,5.0,4.0,6.0,18.0,14.0,17.0,31.0,30.0,19.0,34.0,29.0,25.0,26.0,10.0,7.0,13.0,54.0,12.0,49.0,22.0,23.0,110.0,11.0,15.0
4462,0.0,1.0,2.0,4.0,5.0,35.0,8.0,3.0,13.0,11.0,12.0,7.0,26.0,25.0,10.0,28.0,24.0,39.0,33.0,17.0,29.0,92.0,30.0,18.0,79.0,6.0,23.0,87.0,20.0,15.0
4511,0.0,1.0,3.0,4.0,12.0,11.0,15.0,6.0,5.0,18.0,8.0,37.0,13.0,85.0,17.0,26.0,10.0,20.0,25.0,16.0,7.0,9.0,23.0,14.0,40.0,29.0,19.0,30.0,22.0,2.0
4560,0.0,1.0,2.0,4.0,6.0,22.0,15.0,3.0,5.0,27.0,7.0,18.0,12.0,13.0,31.0,84.0,21.0,107.0,25.0,8.0,10.0,9.0,23.0,24.0,47.0,19.0,17.0,26.0,30.0,16.0
4609,0.0,4.0,1.0,2.0,3.0,22.0,8.0,14.0,5.0,9.0,6.0,17.0,10.0,13.0,7.0,31.0,11.0,32.0,39.0,12.0,18.0,15.0,28.0,24.0,26.0,25.0,40.0,86.0,89.0,16.0
4658,0.0,1.0,2.0,18.0,11.0,5.0,15.0,3.0,8.0,6.0,4.0,17.0,13.0,24.0,23.0,9.0,19.0,28.0,32.0,25.0,7.0,21.0,12.0,10.0,38.0,16.0,79.0,14.0,31.0,30.0
4707,0.0,1.0,4.0,2.0,8.0,30.0,7.0,6.0,5.0,10.0,11.0,28.0,13.0,9.0,24.0,15.0,14.0,26.0,55.0,19.0,3.0,17.0,21.0,23.0,46.0,18.0,64.0,27.0,32.0,16.0
4756,0.0,2.0,1.0,7.0,8.0,11.0,9.0,3.0,5.0,6.0,18.0,17.0,13.0,14.0,29.0,24.0,26.0,101.0,19.0,4.0,30.0,15.0,12.0,10.0,49.0,32.0,33.0,35.0,31.0,16.0
4805,0.0,2.0,1.0,3.0,11.0,18.0,8.0,9.0,4.0,5.0,6.0,7.0,22.0,15.0,26.0,17.0,24.0,33.0,21.0,10.0,13.0,12.0,30.0,19.0,55.0,29.0,80.0,86.0,20.0,16.0
4854,0.0,1.0,2.0,5.0,3.0,11.0,4.0,12.0,9.0,23.0,17.0,20.0,27.0,10.0,16.0,28.0,26.0,110.0,36.0,8.0,6.0,18.0,13.0,15.0,77.0,14.0,21.0,85.0,102.0,24.0
