,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-24,hsa-let-7e,hsa-miR-22,hsa-miR-223,hsa-miR-766,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-216a,hsa-miR-222,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-130a,hsa-miR-424,hsa-miR-31,hsa-miR-151-3p,hsa-miR-224,hsa-miR-148a,hsa-miR-126,hsa-miR-593,hsa-miR-1180,hsa-miR-29b,hsa-miR-193a-5p,hsa-miR-135b,hsa-miR-34c-3p,hsa-miR-137,hsa-miR-28-5p,hsa-miR-545,hsa-miR-369-5p
3448,0.0,4.0,3.0,1.0,2.0,5.0,10.0,9.0,15.0,488.0,6.0,18.0,32.0,8.0,25.0,7.0,23.0,19.0,119.0,17.0,11.0,48.0,29.0,200.0,20.0,22.0,262.0,81.0,38.0,532.0
3497,0.0,1.0,3.0,4.0,5.0,2.0,34.0,13.0,23.0,72.0,36.0,7.0,27.0,11.0,146.0,14.0,43.0,9.0,18.0,6.0,50.0,203.0,49.0,69.0,197.0,17.0,184.0,46.0,12.0,172.0
3546,1.0,2.0,4.0,6.0,0.0,5.0,8.0,13.0,10.0,3.0,20.0,28.0,9.0,15.0,14.0,39.0,16.0,12.0,48.0,37.0,64.0,17.0,76.0,29.0,27.0,21.0,23.0,146.0,24.0,56.0
3595,0.0,1.0,3.0,12.0,6.0,9.0,26.0,2.0,11.0,99.0,61.0,4.0,15.0,13.0,25.0,8.0,29.0,5.0,28.0,124.0,40.0,105.0,7.0,10.0,91.0,68.0,140.0,96.0,14.0,23.0
3644,0.0,2.0,4.0,5.0,3.0,9.0,24.0,17.0,6.0,10.0,60.0,1.0,16.0,160.0,152.0,11.0,83.0,15.0,12.0,7.0,80.0,21.0,8.0,18.0,47.0,20.0,176.0,339.0,23.0,156.0
3693,1.0,0.0,7.0,5.0,6.0,2.0,8.0,11.0,3.0,4.0,141.0,16.0,18.0,17.0,536.0,12.0,14.0,101.0,52.0,36.0,21.0,42.0,31.0,68.0,57.0,9.0,115.0,65.0,19.0,113.0
3742,0.0,1.0,10.0,5.0,2.0,13.0,17.0,3.0,15.0,4.0,60.0,14.0,6.0,32.0,8.0,9.0,16.0,90.0,23.0,12.0,26.0,500.0,244.0,18.0,21.0,55.0,311.0,63.0,49.0,46.0
3791,0.0,1.0,2.0,3.0,4.0,7.0,8.0,12.0,5.0,10.0,54.0,17.0,16.0,11.0,9.0,69.0,21.0,13.0,259.0,29.0,36.0,14.0,22.0,323.0,24.0,31.0,47.0,62.0,6.0,35.0
3840,0.0,1.0,3.0,28.0,6.0,5.0,2.0,4.0,11.0,9.0,37.0,16.0,7.0,8.0,74.0,103.0,57.0,17.0,76.0,29.0,93.0,36.0,21.0,56.0,96.0,13.0,168.0,177.0,19.0,322.0
3889,2.0,0.0,3.0,7.0,8.0,1.0,18.0,5.0,11.0,98.0,29.0,23.0,33.0,39.0,22.0,10.0,4.0,26.0,75.0,20.0,41.0,74.0,6.0,72.0,53.0,21.0,390.0,24.0,70.0,177.0
3938,2.0,1.0,0.0,7.0,5.0,4.0,84.0,6.0,12.0,8.0,17.0,13.0,10.0,137.0,11.0,96.0,37.0,14.0,23.0,123.0,92.0,18.0,55.0,436.0,110.0,19.0,175.0,9.0,167.0,161.0
